"","ISO","lang.family.x","lang.genus.x","native.country.x","native.country.area.x","language.x","lang.family.y","lang.genus.y","native.country.y","native.country.area.y","language.y","lat","lon","area","perimeter","n.neighbors","mean.temp","sum.precip","sd.temp","sd.precip","growing.season","pop_log"
"853","kvw","Trans-New Guinea","Timor-Alor-Pantar","Indonesia","Asia","kolana","Trans-New Guinea","Timor-Alor-Pantar","Indonesia","Asia","kolana",-8.25,125.12,2451,168344,5,NA,NA,NA,NA,NA,3.5682
"854","kzi","Austronesian","Borneo","Malaysia","Asia","kelabit","Austronesian","Borneo","Malaysia","Asia","kelabit",3.67,115.42,195442,281076.5,10,NA,NA,NA,NA,NA,3.24229
"855","kgq","Trans-New Guinea","Asmat-Kamoro","Indonesia","Asia","kamoro","Trans-New Guinea","Asmat-Kamoro","Indonesia","Asia","kamoro",-4.33,136,1091604,1554972,8,25.9583,265.333,93.807,1.0689,12,3.90309
"856","kmt","Nimboran","Nimboran","Indonesia","Asia","kemtuik","Nimboran","Nimboran","Indonesia","Asia","kemtuik",-2.67,140.33,8416,93969,8,26.4667,151.417,58.787,0.2378,12,3.39794
"857","khd","Morehead and Upper Maro Rivers","Morehead and Upper Maro Rivers","Indonesia","Asia","kanumbadi","Morehead and Upper Maro Rivers","Morehead and Upper Maro Rivers","Indonesia","Asia","kanumbadi",-8.83,140.75,2794,48699,3,NA,NA,NA,NA,NA,1.69897
"858","kcd","Morehead and Upper Maro Rivers","Morehead and Upper Maro Rivers","Indonesia","Asia","kanumngkalmpw","Morehead and Upper Maro Rivers","Morehead and Upper Maro Rivers","Indonesia","Asia","kanumngkalmpw",-8.67,140.92,25037,260349,8,NA,NA,NA,NA,NA,2.17609
"859","kvv","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","kola","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","kola",-5.5,134.5,8134,278998,0,NA,NA,NA,NA,NA,3.88649
"860","khe","Trans-New Guinea","Awju-Dumut","Indonesia","Asia","korowai","Trans-New Guinea","Awju-Dumut","Indonesia","Asia","korowai",-5.25,140,12980.5,102650,6.5,NA,NA,NA,NA,NA,2.8451
"861","kje","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","kisar","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","kisar",-8.08,127.12,1010,29944,1,NA,NA,NA,NA,NA,4.30103
"862","xte","Trans-New Guinea","Mek","Indonesia","Asia","ketengban","Trans-New Guinea","Mek","Indonesia","Asia","ketengban",-4.5,140.5,104567,288768,9,NA,NA,NA,NA,NA,3.99861
"863","vkt","Austronesian","Sundic","Indonesia","Asia","kutai","Austronesian","Sundic","Indonesia","Asia","kutai",-0.33,116.67,2064445,1940308,14,NA,NA,NA,NA,NA,5.32222
"864","kwe","Kwerba","Kwerba","Indonesia","Asia","kwerba","Kwerba","Kwerba","Indonesia","Asia","kwerba",-2.25,138.5,73225,228754,11,NA,NA,NA,NA,NA,3.39794
"865","lti","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","leti","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","leti",-8.2,127.67,1806,43465,0,NA,NA,NA,NA,NA,3.87506
"866","law","Austronesian","Sulawesi","Indonesia","Asia","lauje","Austronesian","Sulawesi","Indonesia","Asia","lauje",-0.5,120,187124,370730,8,NA,NA,NA,NA,NA,4.64345
"867","slp","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","lamaholot","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","lamaholot",-8.25,122.92,17984,363941,3,NA,NA,NA,NA,NA,5.17609
"868","ljp","Austronesian","Sundic","Indonesia","Asia","lampung","Austronesian","Sundic","Indonesia","Asia","lampung",-5,105,1517132,1250526,11,26.2417,175.833,93.8,0.41,12,6.17609
"869","alo","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","larike","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","larike",-3.75,127.92,1301,33867,2,NA,NA,NA,NA,NA,4.09889
"870","ayz","West Papuan","North-Central Birds Head","Indonesia","Asia","maybrat","West Papuan","North-Central Birds Head","Indonesia","Asia","maybrat",-1.33,132.5,830273,389516,14,NA,NA,NA,NA,NA,4.30103
"871","mad","Austronesian","Sundic","Indonesia","Asia","madurese","Austronesian","Sundic","Indonesia","Asia","madurese",-7,113.5,2980338,4503224,9,27.258,130.33,101.668,0.59665,7.875,7.13656
"872","xmm","Austronesian","Sundic","Indonesia","Asia","manadonese","Austronesian","Sundic","Indonesia","Asia","manadonese",1.5,124.83,400,13983,4,NA,NA,NA,NA,NA,5.92942
"873","mej","East Birds Head","East Birds Head","Indonesia","Asia","meyah","East Birds Head","East Birds Head","Indonesia","Asia","meyah",-1.17,133.5,192566,387133,7,26.4333,217.5,83.215,0.2015,12,4.16976
"874","bew","Creoles and Pidgins","","Indonesia","Asia","melayubetawi","Creoles and Pidgins","","Indonesia","Asia","melayubetawi",-6.5,107,69957,347725,4,21.7232,228.929,113.343,0.3848,11.2857,6.43136
"875","jet","Border","Border","Papua New Guinea","Australia and Oceania","manem","Border","Border","Papua New Guinea","Australia and Oceania","manem",-3,140.83,3733.5,49825.5,4.5,NA,NA,NA,NA,NA,2.95424
"876","mog","Austronesian","Sulawesi","Indonesia","Asia","mongondow","Austronesian","Sulawesi","Indonesia","Asia","mongondow",0.67,124,156400,516933,7,NA,NA,NA,NA,NA,5.95424
