iso_639_3,fileName,Language,Stock,Stock_coarse,Region,Region_coarse,L1_speakers,L2_speakers,RatioL2,PercL2,LDT,LDTinv,LDTscaled,measure,text,genus_wals,family_wals
est,udhr_est.csv,Estonian,Uralic,Uralic,Inner Asia,Inner Asia,1274330,67000,0.052576648,0.05,0.5129683,0.5129683,1.097496063,TTR,UDHR,Finnic,Uralic
abk,udhr_abk.csv,Abkhaz,NorthCaucasian,Other,Greater Mesopotamia,Greater Mesopotamia,117350,7041,0.06,0.0566,0.618513045,0.381486955,1.390342997,a,UDHR,Northwest Caucasian,Northwest Caucasian
abk,udhr_abk.csv,Abkhaz,NorthCaucasian,Other,Greater Mesopotamia,Greater Mesopotamia,117350,7041,0.06,0.0566,8.929338808,8.929338808,1.621063412,H,UDHR,Northwest Caucasian,Northwest Caucasian
abk,udhr_abk.csv,Abkhaz,NorthCaucasian,Other,Greater Mesopotamia,Greater Mesopotamia,117350,7041,0.06,0.0566,0.601662887,0.601662887,1.779008023,TTR,UDHR,Northwest Caucasian,Northwest Caucasian
khm,zipf_stats_khm-x-bible-kalam-v1.txt,kalam,Austroasiatic ,Other,Southeast Asia,Southeast Asia,13603400,1000000,0.073511034,0.068477204,1.526452495,-0.526452495,-0.900437171,a,PBC,Khmer,Austro-Asiatic
khm,zipf_stats_khm-x-bible-kalam-v1.txt,kalam,Austroasiatic ,Other,Southeast Asia,Southeast Asia,13603400,1000000,0.073511034,0.068477204,7.368624141,7.368624141,-0.524408688,H,PBC,Khmer,Austro-Asiatic
khm,zipf_stats_khm-x-bible-kalam-v1.txt,kalam,Austroasiatic ,Other,Southeast Asia,Southeast Asia,13603400,1000000,0.073511034,0.068477204,0.043208665,0.043208665,-0.884812619,TTR,PBC,Khmer,Austro-Asiatic
por,freqlist_portuguese.csv,portuguese,Indo-European,Indo-European,Europe,Europe,182670000,17500000,0.095801172,0.087425688,1.193348022,-0.193348022,-0.753050413,a,EPC,Romance,IE
por,freqlist_portuguese.csv,portuguese,Indo-European,Indo-European,Europe,Europe,182670000,17500000,0.095801172,0.087425688,10.06347584,10.06347584,-0.852067458,H,EPC,Romance,IE
por,freqlist_portuguese.csv,portuguese,Indo-European,Indo-European,Europe,Europe,182670000,17500000,0.095801172,0.087425688,0.009250094,0.009250094,-0.778718517,TTR,EPC,Romance,IE
por,zipf_stats_por-x-bible-porbt-v1.txt,porbt,Indo-European,Indo-European,Europe,Europe,182670000,17500000,0.095801172,0.087425688,1.098610256,-0.098610256,0.677552186,a,PBC,Romance,Indo-European
por,zipf_stats_por-x-bible-porbt-v1.txt,porbt,Indo-European,Indo-European,Europe,Europe,182670000,17500000,0.095801172,0.087425688,8.640814627,8.640814627,0.556130913,H,PBC,Romance,Indo-European
por,zipf_stats_por-x-bible-porbt-v1.txt,porbt,Indo-European,Indo-European,Europe,Europe,182670000,17500000,0.095801172,0.087425688,0.11376673,0.11376673,0.131028828,TTR,PBC,Romance,Indo-European
por,udhr_por_PT.csv,Portuguese ,Indo-European,Indo-European,Europe,Europe,182670000,17500000,0.095801172,0.0874,0.930349888,0.069650112,-0.093618157,a,UDHR,Romance,Indo-European
por,udhr_por_PT.csv,Portuguese ,Indo-European,Indo-European,Europe,Europe,182670000,17500000,0.095801172,0.0874,7.868113667,7.868113667,-0.003421397,H,UDHR,Romance,Indo-European
